Product Id,Product Brand,Product Category,Product Name,Product Price,Product Rating,Product Reviews Count,Retailer,Product Tags,Main Category,Price Segment
b77f3da33be6e65f6183da6ada8c07ca,ETUDE HOUSE,Makeup > Face > Contour,ETUDE HOUSE Face Color Shading - 02,600.0,4.6,4.0,nykaa.com,"ETUDE HOUSE Face Color Shading - 02, Makeup, Face, Contour",Makeup,Mid-range
f54658c5d511195b6621a640fb743b1b,L'Oreal Paris,Brand > L'Oreal Paris,L'Oreal Paris Glow Mon Amour Highlighting Drops - 02 Loving Peach,454.0,4.3,147.0,nykaa.com,"L'Oreal Paris Glow Mon Amour Highlighting Drops - 02 Loving Peach, Makeup, Face, Illuminators",Brand,Budget
cdf6b3387f8976c8e38ad150173dbb6d,The Body Shop,Makeup > Face > Foundation,The Body Shop All-In-One Face Base - 045,1395.0,4.4,58.0,nykaa.com,"The Body Shop All-In-One Face Base - 045 , Makeup, Face",Makeup,Mid-range
424755c11c78b2b24ff13c675baf5d19,True Elements,Health & Wellness > Good for You > Super Food,True Elements Sunflower Raw Seeds,175.0,5.0,0.0,nykaa.com,"True Elements Sunflower Raw Seeds, Wellness, Shop By Concern, Cardiovascular Health",Health & Wellness,Budget
f7f76573099db0058ef5264c35d9d02e,Nykaa Cosmetics,Makeup > Lips > Lip Stain,Nykaa Wonderpuff Cushion Liquid Lipstick - Werk It,539.0,4.0,934.0,nykaa.com,"NykaaÂ Wonderpuff!Â LipÂ &Â CheekÂ Cushion LipstickÂ Tint - Werk It, Makeup, Lips, Lipstick",Makeup,Mid-range
ee007f19f85ce1d73de2aa745ea1bc20,HealthVit,Natural > Shop By Concern > Acne Treatment,HealthVit Activated Charcoal Powder,249.0,4.2,442.0,nykaa.com,"HealthVit Activated Charcoal Powder - 250gm, Wellness, Shop By Concern, Digestion",Natural,Budget
e22a7ea6c594e3e52a4dbe1eb04fd7a3,Nivea,Brand > Nivea,NIVEA Body Lotion Oil in Lotion Rose & Argan Oil - For Dry Skin,260.0,4.5,1220.0,nykaa.com,"Nivea Oil In Lotion Rose & Argan Oil, Skin, Body, Lotions & Creams",Brand,Budget
20532c740b21fcecfeecebc2ad1c5a8d,Lotus Herbals,Natural > Skin > Face Wash,Lotus Herbals Whiteglow Activated Charcoal Brightening Face Wash,140.0,4.2,8.0,nykaa.com,"Lotus Herbals Whiteglow Activated Charcoal Brightening Face WashNatural, Skin Care, Face Wash",Natural,Budget
1ed2ff0473b80cd83ee7cfb130f8d28d,Floret,Mom & Baby > Maternity Wear > Maternity Bra,Floret Pack of 2 Full-Coverage Maternity Bras - Multi-Color (30B),758.0,5.0,0.0,nykaa.com,"Floret Pack of 2 Full-Coverage Maternity Bras - Multi-Color (30B), Bra, Maternity, Maternity Wear, Value Packs",Mom & Baby,Mid-range
df491bbe99958f73ae08f65febbe183e,Himalaya,,Himalaya Anti-Hair Fall Shampoo With Bhringaraja,71.0,4.2,647.0,nykaa.com,Himalaya Anti-Hair Fall Shampoo With Bhringaraja,,Budget
